kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
Di sarankan AC nya lebih dingin,saran ac lebih dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",positif,1,bermakna,2
"ruangan nya nyaman, bersih tapi ac nya dingin sekali",ruang nyaman bersih ac dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
Meja Kursi tidak muat bagi laptop yang 15inch,meja kursi tidak muat laptop inch,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Jangan lupa perbanyak pelatihan di pare pare heheh,lupa banyak latih pare pare heheh,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,1
Jangan lupa perbanyak latihan di parepare kak☺,lupa banyak latih parepare,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
Terus tingkatkan fasilitas pelatihan,tingkat fasilitas latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
SAKIT Leher di bawa lcd,sakit leher bawa lcd,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
"Kelas kurang terang, Bangku nya tidak bisa pake Mouse.",kelas kurang terang bangku tidak pakai mouse,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,3
Ac ruangan kadang tiba tiba mati,ac ruang kadang mati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Kursi mejanya kurang besar,kursi meja kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ruangan yang digunakan pelatihan sudah bagus,ruang latih bagus,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Semoga Pelatihan Ini Terus di Adakan,latih adakan,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"Tv kurang besar jdi tidak kelihatan semisal di belkang karna buram,",tv kurang tidak belkang buram,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
"Led buram, materi presentasi tidak terbaca bagi yang duduk dibelakang",led buram materi presentasi tidak baca duduk belakang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
"Mungkin d setiap ruangan bisa d sediakan proyektor karena ketika menggunakan tv LCD ,bagian barisan belakang agak kesulitan melihat materi yang di berikan",ruang sedia proyektor tv lcd baris sulit materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
Ruangan terkadang panas karna AC nya mati,ruang terkadang panas ac mati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
"Saran : Dengan lebih memperbanyak pelatihan seperti dan jika bisa ke beberapa daerah juga 
 Kritik: tidak ada, sejauh ini saya merasa nyaman",lebih banyak latih daerah tidak nyaman,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,1
Lumayan lah setidaknya layak digunakan,layak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Sebaiknya semua posisi duduk peserta mengarah satu arah ke pemateri dan screen proyektor,posisi duduk serta arah arah materi screen proyektor,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
AC nya masih kurang dingin,ac kurang dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
Terlalu dingin,dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,tidak bermakna,0
Tidak ada meja untuk tempat mouse jadi mungkin kedepan nya bagusnya mejanya di adakan,tidak meja mouse depan bagus meja adakan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Terlalu dingin,dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,tidak bermakna,0
Semoga pelatihanya bisaaa terus terlaksana dengan baik,pelatihanya bisaaa laksana baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"- Tidak diberikan Akses Wifi untuk memudahkan pembelajaran mengenai jaringan 
 - Ruangan yang sdikit panas ketika siang hari",tidak akses wifi mudah ajar jaring ruang sdikit panas siang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,3
Fasilitas seperti lcd terkadang sering mati nyala,fasilitas lcd terkadang mati nyala,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Fasilitas pelatihan seperti lcdnya sering mati2,fasilitas latih lcdnya mati,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
mungkin untuk kedepannya lebih baik lagi,depan lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
"Sejauh ini sudah sangat baik, untuk kedepannya lebih di lengkapi segala bentuk fasilitas yang akan digunakan",sangat baik depan lebih lengkap bentuk fasilitas,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,2,bermakna,0
AC kadang mati nyala hehe,ac kadang mati nyala he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
"AC nya tidak berasa, panas dalam ruangan",ac tidak asa panas ruang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
Proyektor trlalu kcil shingga agak sulit di lhat bagi kami yang ada di blakng,proyektor kcil shingga sulit lhat blakng,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
ruangannya agak panas😁,ruang panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Fasilitas sudah lengkap dan memadai,fasilitas lengkap pada,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Kurang Terang,kurang terang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
ACnya panas,ac panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Fasilitas ruangan yang kurang memadai seperti terbatasnya meja sehingga sulit untuk memaksimalkan praktek. Dan akses toilet sulit,fasilitas ruang kurang pada batas meja sulit maksimal praktek akses toilet sulit,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,4
Ruangan sudah bagus tapi kurang dingin,ruang bagus kurang dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-2,bermakna,0
"Pelatihannya aman, Yang tidak aman, laptopku di hari pertama :(, sorry curhat min",latih aman tidak aman laptop maaf curah hati min,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Kalau bisa Penataan kursi dan meja di perbaiki lagi agar peserta leluasa dan nyaman dalam proses belajar,tata kursi meja baik serta leluasa nyaman proses ajar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,3,bermakna,0
"Ruangan JGD A lumayan bagus, hanya saja mungkin kedepannya pencahayaan didalam ruangan perlu ditambah",ruang jgd a bagus depan cahaya dalam ruang tambah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
"Pertama tama terima kasih atas ilmunya semoga bisa bermanfaat untuk banyak orang, saran mungkin materinya bisa di tambah .",tama ilmu manfaat orang materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Alas meja sangat kecil agak kesusahan untuk dipakai, tidak ada ruang untuk mouse. Selainnya masih dapat ditoleransi , terimakasih.",alas meja sangat susah pakai tidak ruang mouse selain toleransi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
"Ruangannya terlalu dingin hehe 😅, menurut saya lebih bagus jika menampilkan slide materi menggunakan proyektor, karena jika via TV tampilannya kurang besar. Jadi materi kurang terlihat jelas. Selebihnya sudah sangat baik. Terimakasih",ruang dingin he lebih bagus tampil slide materi proyektor via tv tampil kurang materi kurang lebih sangat baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,2
"Kurang cahaya, tapi suasananya nyaman",kurang cahaya suasana nyaman,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Pendingin ruangan yang kurang konsisten,dingin ruang kurang konsisten,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-2,bermakna,1
Ruangan agak minim cahaya,ruang minim cahaya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,0
AC terlalu dingin,ac dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
Ruangan panas,ruang panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Semoga kedepannya disediakan alat tulis atau buku khsus mencatat materi untuk peserta.,depan sedia alat tulis buku khsus catat materi serta,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,2,bermakna,1
AC yang digunakan biasa mati tibatiba,ac mati tibatiba,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Ruangannya kadang ac tiba-tiba mati,ruang kadang ac tibatiba mati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Semoga tetap konsisten menjalankan pelatihan.. semoga dapat membuka pelatihan ditempat"" terpencil yang ada di sulawesi selatan",konsisten jalan latih buka latih tempat pencil sulawesi selatan,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
Tidak ada nya terminal atau colokan sehingga peserta membawa terminal atau colokan pribadi,tidak terminal colok serta bawa terminal colok pribadi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
"ac terlalu dingin, membuat saya demam",ac dingin demam,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
"MUNGKIN DAPAT DI SEDIAKA AKSES INTERNET, SEPERTI WIFI SAAT PELATIHAN",sediaka akses internet wifi latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Kalau bisa mejanya lebih luas lagi,meja lebih luas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Wifi kurang kencang,wifi kurang kencang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ganti kursinya,ganti kursi,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",netral,0,bermakna,0
Menyediakan colokan yg mudah dijangkau,sedia colok mudah jangkau,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Semoga kedepannya lebih baik lagi,depan lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
duduknya bikin leher kita miring kalau mau memperhatikan pemateri,duduk bikin leher miring perhati materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Cahaya matahari dari jendela membuat tampilan proyek menjadi agak buram, saran saya sebaiknya di tutup jendelanya",cahaya matahari jendela tampil proyek buram tutup jendela,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
AC kurang dingin tapi good lah,ac kurang dingin bagus,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,0
semoga nextnya ada wifi,nextnya wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
mohon untuk diberikan password wifi kepada peserta pelatihan,password wifi serta latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
"Cuma pc yang tidak terpakai sedikit menghalangi ruang gerak, itupun tidak terlalu mengganggu",pc tidak pakai halang ruang gerak itu tidak ganggu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-6,bermakna,3
tingkatkan,tingkat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,tidak bermakna,0
Sempit,sempit,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,tidak bermakna,0
Memberikan wifi untuk peserta,wifi serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Agar menyediakan fasilitas wifi untuk proses pelatihan,sedia fasilitas wifi proses latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,0
"Tidak menyediakan wifi, saya berharap pelatihan selanjutnya ada wifi untuk di akses selama pelatihan.",tidak sedia wifi harap latih wifi akses latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,2
Colokan Kurang,colok kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ruangannya bagus cuman kebersihannya yang kurang,ruang bagus cuma bersih kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,0
Upgrade sedikit lagi,upgrade,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Sebaiknya dilengkapi sama akses internet untuk mempermudah jika ada yang akan diinstall karena jringan data kadang jaringannya buruk.,lengkap akses internet mudah diinstall jringan data kadang jaring buruk,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
Lebih di perhatikan lagi lcd/proyektornya agar melihat materi lebih nyaman,lebih perhati lcdproyektornya materi lebih nyaman,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,3,bermakna,0
di pertahankan dan lebih ditingkatkan kedepannya,tahan lebih depan,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Mungkin kedepannya lebih diperbanyak fasilitas seperti akses wifi,depan lebih banyak fasilitas akses wifi,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,1
Ruangan lumayan nyaman hanya saja karena di meja tersebut ada komputer jadi kita kurang leluasa untuk belajar dan memperhatikan pemateri,ruang nyaman meja komputer kurang leluasa ajar perhati materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Tolong kursinya yang lebih baik lagi. Pantan sakit karena duduk lama di kursinya,kursi lebih baik pantan sakit duduk kursi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
proyektor bisa mati,proyektor mati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
untuk fasilitas boleh untuk di sediakan wifi agar menunjang proses kegiatan🙏🏻,fasilitas sedia wifi tunjang proses giat,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,3,bermakna,1
"Semoga nantinya sudah ada gedung yg disediakan oleh kominfo untuk kenyamanan peserta pelatihan selanjutnya, Aamiin :)",gedung sedia kominfo nyaman serta latih aamiin,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,4,bermakna,0
Semogaa untuk kedepannya disediakan wifi karna koneksi jaringan kadang-kadang terganggu.,semogaa depan sedia wifi koneksi jaring kadangkadang ganggu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Sudah memenuhi,penuh,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Kursinya tolong yg rusak di ganti,kursi rusak ganti,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",netral,0,bermakna,0
Pintunya terlalu berisik ketika akan dibuka jadi mengganggu ketenangan dan fokus,pintu berisik buka ganggu tenang fokus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"proyektornya bermasalah,",proyektor masalah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Jaringan kurang memadai,jaring kurang pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
menurutku ruangannya sudah sangat cocok,turut ruang sangat cocok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,0
Susunan meja bikin sakit leher,susun meja bikin sakit leher,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
"terkait ruangan,hari pertama pelatihan screen protector yang di gunakan kurang kelihatan tampilannya",kait ruanganhari latih screen protector kurang tampil,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,2
Kekurangan akses internet,kurang akses internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
LCD nya kurang memadai,lcd kurang pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Fasilitas pada ruangan perlu ditingkatkan,fasilitas ruang,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Semoga pelatihan selanjutnya sudah ada fasilitas gedung tersendiri dari pihak BBPSDMP untuk melaksanakan pelatihan! SUKSES SELALU :),latih fasilitas gedung sendiri bbpsdmp laksana latih sukses,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,1
"Pelatihan menggunakan letter u, tidak efisien untuk jna",latih letter tidak efisien jna,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,1
acnya tidak dingin,ac tidak dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
colokan diperbanyak,colok banyak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Saran fasilitas pada saat presentasi materi pelatihan diperhatikan.,fasilitas presentasi materi latih perhati,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Untuk perlengkapan pembelajaran yang penting seperti lcd harus lebih di perhatikan lagi,lengkap ajar lcd lebih perhati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Tolong kursi yang rusak di perbaiki,kursi rusak baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Ruang sangat baik dan ber AC. Fasilitas laptop dan kabel colokan harus bawa sendiri. (Tidak difasilitasi),ruang sangat baik ber ac fasilitas laptop kabel colok bawa tidak fasilitas,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-2,bermakna,1
Saya rasa fasilitas ruangan sudah cukup bagus tapi posisi peserta kurang tepat karena pada saat pemateri menyampaikan materi di layar proyektor yang di belakang kurang melihat apa yang ada di layar proyektor,fasilitas ruang bagus posisi serta kurang materi materi layar proyektor kurang layar proyektor,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
Fasilitas wifi yang kurang memadai para peserta serta colokan,fasilitas wifi kurang pada serta colok,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,2
Uang saku dan makanan kurang tidak ada cemilan,uang saku makan kurang tidak cemilan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,3
Untuk lebih memaksimalkan proses pelatihan harap di sediakan wifi,lebih maksimal proses latih harap sedia wifi,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,4,bermakna,1
"Saran saya, alat visualisasi dapat ditingkatkan",alat visualisasi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Ruangan kurang dinginn, sdgkn dr fasilitas pelatihan seharusnya sebelum melakukan studi kasus panitia jgn hanya memberikan materi tp bisa dengan melakukan simulasi/praktek agr yg pemulaa bisa memahami materi pembelajarannya",ruang kurang dingin fasilitas latih studi panitia materi simulasipraktek agr pemulaa paham materi ajar,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,2
Akses internet yang agak lambat,akses internet lambat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
Untuk uang sakunya mohon di tambah,uang saku,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Remot Lcd atau tongkat sebagai alat bantu untuk menyalakan Lcd. Agar tidak naik meja pas ingin mengaktifkan Lcd,remot lcd tongkat alat bantu nyala lcd tidak meja pas aktif lcd,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
"Tempatnya nyaman,hanya saja untuk pelatihan digital yang membutuhkan internet, jaringan didalam ruangannya kurang bagus",tempat nyamanhanya latih digital butuh internet jaring dalam ruang kurang bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Ruangan dan fasilitasnya bagus kurang Wifinya demi kelancaran proses selama pelatihan🤭,ruang fasilitas bagus kurang wifinya lancar proses latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
Saran : Jika bisa tolong untuk menambahkan fasilitas berupa wifi pada setiap sesi pembelajaran.,fasilitas wifi sesi ajar,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
