komentar bermakna,klaster,sentimen,makna
"Alas meja sangat kecil agak kesusahan untuk dipakai, tidak ada ruang untuk mouse. Selainnya masih dapat ditoleransi , terimakasih.",7,negatif,bermakna
"Ruangannya terlalu dingin hehe 😅, menurut saya lebih bagus jika menampilkan slide materi menggunakan proyektor, karena jika via TV tampilannya kurang besar. Jadi materi kurang terlihat jelas. Selebihnya sudah sangat baik. Terimakasih",1,negatif,bermakna
"Kurang cahaya, tapi suasananya nyaman",7,positif,bermakna
Pendingin ruangan yang kurang konsisten,6,negatif,bermakna
Ruangan agak minim cahaya,7,negatif,bermakna
AC terlalu dingin,6,netral,bermakna
Ruangan panas,7,negatif,bermakna
Semoga kedepannya disediakan alat tulis atau buku khsus mencatat materi untuk peserta.,1,positif,bermakna
AC yang digunakan biasa mati tibatiba,7,netral,bermakna
Ruangannya kadang ac tiba-tiba mati,7,netral,bermakna
"Semoga tetap konsisten menjalankan pelatihan.. semoga dapat membuka pelatihan ditempat"" terpencil yang ada di sulawesi selatan",4,negatif,bermakna
Tidak ada nya terminal atau colokan sehingga peserta membawa terminal atau colokan pribadi,7,negatif,bermakna
"ac terlalu dingin, membuat saya demam",6,netral,bermakna
"MUNGKIN DAPAT DI SEDIAKA AKSES INTERNET, SEPERTI WIFI SAAT PELATIHAN",4,positif,bermakna
Kalau bisa mejanya lebih luas lagi,7,positif,bermakna
Wifi kurang kencang,7,negatif,bermakna
Ganti kursinya,0,netral,bermakna
Menyediakan colokan yg mudah dijangkau,7,positif,bermakna
Semoga kedepannya lebih baik lagi,1,positif,bermakna
duduknya bikin leher kita miring kalau mau memperhatikan pemateri,7,negatif,bermakna
"Cahaya matahari dari jendela membuat tampilan proyek menjadi agak buram, saran saya sebaiknya di tutup jendelanya",7,negatif,bermakna
AC kurang dingin tapi good lah,6,negatif,bermakna
semoga nextnya ada wifi,7,netral,bermakna
mohon untuk diberikan password wifi kepada peserta pelatihan,4,positif,bermakna
"Cuma pc yang tidak terpakai sedikit menghalangi ruang gerak, itupun tidak terlalu mengganggu",7,negatif,bermakna
Memberikan wifi untuk peserta,7,positif,bermakna
Agar menyediakan fasilitas wifi untuk proses pelatihan,4,positif,bermakna
"Tidak menyediakan wifi, saya berharap pelatihan selanjutnya ada wifi untuk di akses selama pelatihan.",4,positif,bermakna
Colokan Kurang,7,negatif,bermakna
Ruangannya bagus cuman kebersihannya yang kurang,7,negatif,bermakna
Sebaiknya dilengkapi sama akses internet untuk mempermudah jika ada yang akan diinstall karena jringan data kadang jaringannya buruk.,7,positif,bermakna
Lebih di perhatikan lagi lcd/proyektornya agar melihat materi lebih nyaman,1,positif,bermakna
di pertahankan dan lebih ditingkatkan kedepannya,1,positif,bermakna
Mungkin kedepannya lebih diperbanyak fasilitas seperti akses wifi,4,positif,bermakna
Ruangan lumayan nyaman hanya saja karena di meja tersebut ada komputer jadi kita kurang leluasa untuk belajar dan memperhatikan pemateri,7,negatif,bermakna
Tolong kursinya yang lebih baik lagi. Pantan sakit karena duduk lama di kursinya,1,netral,bermakna
proyektor bisa mati,7,netral,bermakna
untuk fasilitas boleh untuk di sediakan wifi agar menunjang proses kegiatan🙏🏻,4,positif,bermakna
"Semoga nantinya sudah ada gedung yg disediakan oleh kominfo untuk kenyamanan peserta pelatihan selanjutnya, Aamiin :)",4,positif,bermakna
Semogaa untuk kedepannya disediakan wifi karna koneksi jaringan kadang-kadang terganggu.,7,positif,bermakna
Kursinya tolong yg rusak di ganti,0,netral,bermakna
Pintunya terlalu berisik ketika akan dibuka jadi mengganggu ketenangan dan fokus,7,negatif,bermakna
"proyektornya bermasalah,",7,negatif,bermakna
Jaringan kurang memadai,7,negatif,bermakna
menurutku ruangannya sudah sangat cocok,7,negatif,bermakna
Susunan meja bikin sakit leher,7,negatif,bermakna
"terkait ruangan,hari pertama pelatihan screen protector yang di gunakan kurang kelihatan tampilannya",4,netral,bermakna
Kekurangan akses internet,7,netral,bermakna
LCD nya kurang memadai,7,negatif,bermakna
Fasilitas pada ruangan perlu ditingkatkan,4,negatif,bermakna
Semoga pelatihan selanjutnya sudah ada fasilitas gedung tersendiri dari pihak BBPSDMP untuk melaksanakan pelatihan! SUKSES SELALU :),4,netral,bermakna
"Pelatihan menggunakan letter u, tidak efisien untuk jna",4,netral,bermakna
acnya tidak dingin,6,negatif,bermakna
colokan diperbanyak,7,netral,bermakna
Saran fasilitas pada saat presentasi materi pelatihan diperhatikan.,4,negatif,bermakna
Untuk perlengkapan pembelajaran yang penting seperti lcd harus lebih di perhatikan lagi,7,positif,bermakna
Tolong kursi yang rusak di perbaiki,7,netral,bermakna
Ruang sangat baik dan ber AC. Fasilitas laptop dan kabel colokan harus bawa sendiri. (Tidak difasilitasi),4,negatif,bermakna
Saya rasa fasilitas ruangan sudah cukup bagus tapi posisi peserta kurang tepat karena pada saat pemateri menyampaikan materi di layar proyektor yang di belakang kurang melihat apa yang ada di layar proyektor,7,negatif,bermakna
Fasilitas wifi yang kurang memadai para peserta serta colokan,4,negatif,bermakna
Uang saku dan makanan kurang tidak ada cemilan,5,negatif,bermakna
Untuk lebih memaksimalkan proses pelatihan harap di sediakan wifi,4,positif,bermakna
"Saran saya, alat visualisasi dapat ditingkatkan",7,netral,bermakna
"Ruangan kurang dinginn, sdgkn dr fasilitas pelatihan seharusnya sebelum melakukan studi kasus panitia jgn hanya memberikan materi tp bisa dengan melakukan simulasi/praktek agr yg pemulaa bisa memahami materi pembelajarannya",4,netral,bermakna
Akses internet yang agak lambat,7,positif,bermakna
Untuk uang sakunya mohon di tambah,7,netral,bermakna
Remot Lcd atau tongkat sebagai alat bantu untuk menyalakan Lcd. Agar tidak naik meja pas ingin mengaktifkan Lcd,7,netral,bermakna
"Tempatnya nyaman,hanya saja untuk pelatihan digital yang membutuhkan internet, jaringan didalam ruangannya kurang bagus",7,negatif,bermakna
Ruangan dan fasilitasnya bagus kurang Wifinya demi kelancaran proses selama pelatihan🤭,4,negatif,bermakna
Saran : Jika bisa tolong untuk menambahkan fasilitas berupa wifi pada setiap sesi pembelajaran.,4,netral,bermakna
Semoga fasilitas ruangannya semakin bagus,4,negatif,bermakna
akses ke ruangan pelatihan kurang mudah,4,negatif,bermakna
"Kritik : Ruangan yang saya gunakan tidak memiliki remot ac, sehingga temperatur dari ac tidak dapat di atur.
 Saran : saran saya semoga fasilitasnya lebih di tingkatkan",7,netral,bermakna
Perbarui Kursi dan PC,7,netral,bermakna
"Saran saya, semoga kedepannya kegiatan VSGA atau yang lainnya di adakan di dalam satu lingkungan.",7,netral,bermakna
Fasilitas listrik kurang memadai,4,negatif,bermakna
saran disediakan colokan untuk peserta,7,positif,bermakna
LCD kurang bagus,7,negatif,bermakna
Jaringan kurang bagus,7,netral,bermakna
"Kalau bisa disediakan wifi, dulu hari pertama ada pas pake kabel LAN yg ada di lab, tapi hari2 berikutnya sudah tidak bisa",7,positif,bermakna
Mohon memilih lokasi yang tersedia sumber internet dengan baik,7,netral,bermakna
Jaringannya kurang bagus dan wifinya,7,netral,bermakna
Perlu perhatikan proyektor nya agar tidak buram sehingga memudahkan dalam memahami penjelasan saat presentasi,8,negatif,bermakna
Baiknya ruangan yang lebih bagus lagi semisal kursi agar peserta lebih nyaman mengaplikasikan laptop dan ruangannya sangat jelek untuk jaringan,7,positif,bermakna
Jaringan yang kurang bagus,7,netral,bermakna
sinyal yang lambat,7,positif,bermakna
"Ruangan terlalu terang seperti jendela yg terbuka terlalu terang,sehingga menyulitkan penglihatan ketika LCD di nyalakan.",7,netral,bermakna
"Proyektor sempat mati. Barangkali disebabkan oleh pendeteksi otomatis input pada proyektor (tebakan awam) saat tidak ada input dari source yg masuk. 
 
 Kondisi tsb sempat membuat bingung, termasuk instruktur bahkan asesor.
 
 Saran, jika dianggap perlu untuk diketuhui pengguna proyektor, sebaiknya ditempeli kode warna di Proyektor tersebut, yang bisa memahamkan pengguna terkait lampu indikator ON, OFF, atau Standby, supaya bisa segera ditagani.",7,positif,bermakna
Ada beberapa kursi yang sudah tidak layak pakai mungkin kedepannya bisa ditukarkan dengan yang masih bagus,7,negatif,bermakna
saran untuk menyediakan colokan yang lebih,7,positif,bermakna
Sulit jaringan,7,positif,bermakna
colokan nya sangat minim dan tidak tersedia wifi,7,negatif,bermakna
Next pelatihan bisa pakai fasilitas kampus yang dipakai,4,netral,bermakna
"Sebaiknya menyediakan fasilitas yang memadai seperti wifi/kualitas jaringan yang bagus dikarenakan sulit untuk mengakses internet selama pelatihan, sedangkan ada beberapa referensi yang harus di download",4,positif,bermakna
Tampilan slide kurang jelas,7,negatif,bermakna
Jaringan kurang memadai,7,negatif,bermakna
"Sudah baik, silahkan lebih dikontrol lagi orang-orang yang keluar masuk selain peserta pelatihan dan panitia karena sedikit mengganggu.",4,positif,bermakna
ruangan lumayan nyaman tapi karena mejanya terdapat komputer jadi kita susah memperhatikan pemateri,7,negatif,bermakna
Perbanyak colokan,7,netral,bermakna
"Ruangannya bagus dan nyaman, apalagi kursinyaa 😍 diperbanyak aja kursi yg nyaman biar bisa nyaman juga duduknya. Kalau bisa lebih lama lagi durasi pelatihannya agar tidak buruburu",4,positif,bermakna
"Tidak mendapatkan ATK seperti pada pelatihan tahun lalu, uang saku juga lebih sedikit dari tahun lalu, ruang kelas kurang tinggi lantainya",7,negatif,bermakna
"Untuk kursinya kurang memadai, dan jaringan",7,negatif,bermakna
Mungkin terkait fasilitas colokan yang masih perlu ditambahkan di dalam kelas,7,netral,bermakna
wifi tidak ada,7,negatif,bermakna
jaringan mohon di perbagus,7,positif,bermakna
kurang wifi hehe,7,negatif,bermakna
Akses internet dan Listrik kurang memadai,7,negatif,bermakna
Jaringan tidak memadai,7,negatif,bermakna
Ruangan yang memiliki stop kontak yang banyak,7,negatif,bermakna
Tempat duduk bikin kita harus miringkan bdan buat interaksi dengan oemateri,7,negatif,bermakna
Colokan Kurang,7,negatif,bermakna
Jaringan kurang,7,netral,bermakna
Sebaiknya pilih ruangan yang baik koneksi jaringannya,7,negatif,bermakna
Tidak tersedianya wifi yang memadai dikelas,7,negatif,bermakna
Akses jaringan dan internet sangat susah,7,positif,bermakna
Jaringan kurang bagus,7,netral,bermakna
Lcd nya kurang memadai,7,negatif,bermakna
Proyektornya lebih di perhatikan lagi,7,positif,bermakna
Ac nya diperbaiki supaya kelas lebih dingin,6,netral,bermakna
Ruangan nyaman tapi karena tidak ada nya terminal atau colokan sehingga peserta membawa secara pribadi,7,negatif,bermakna
Diberi Wifi saat pelatihan,4,netral,bermakna
"Bagus, cuma pc yang tidak dipakai sedikit menghalangi ruang gerak",7,negatif,bermakna
Jaringannya kurang memadai jadi terkendala dalam menggunakan internet.,7,negatif,bermakna
"Colokan banyak rusak, jaringan teramat lalot, dan proyektor kurang terlihat tampilan nya",7,positif,bermakna
Kursinya tolong untuk lebih baik lagi,1,positif,bermakna
Pintunya terlalu berisik jadi mengganggu fokus,7,negatif,bermakna
Mungkin pada Wifi atau jaringan yang terkadang susah di hubungkan,7,positif,bermakna
Kedepannya diharapkan menyediakan ruangan yang sesuai dengan jumlah peserta,7,positif,bermakna
PROYEKTOR AGAK BURAM SEHINGGA YANG DUDUK DI BELAKANG KURANG JELASS,7,negatif,bermakna
Fasilitas pada saat pemaparan materi pelatihan diperhatikan lagi!!,4,negatif,bermakna
Pintunya bunyi bunyi,7,netral,bermakna
"Ruangan yg bagus, tapi semoga nanti bisa di akses wifinya, supaya mudah juga peserta searching atau ambil data di internet",7,negatif,bermakna
Tidak ada jaringannya,7,netral,bermakna
Pelatihan letter u kurang efisien,7,netral,bermakna
tolong untuk diberikan password wifi kepada peserta pelatihan,4,positif,bermakna
LCD kurang Baik,7,negatif,bermakna
AC nya dingin banget bikin flu saran kasih rendah rendah mi SUHU nya,6,negatif,bermakna
Agar alat visualisasinya dapat ditingkatkan,7,netral,bermakna
Semoga di kegiatan selanjutnya lokasi pelatihannya yang baik jaringannya,4,positif,bermakna
Tolong kedepannya agar memilih lokasi yang tepat dan bisa terhubung dengan jaringan internet,7,netral,bermakna
"Yang baik, sebaiknya ditingkatkan lagi kedepannya.",1,netral,bermakna
Untuk ketersediaan device mungkin bisa diadakan bagi peserta,7,positif,bermakna
"Acnya terlalu dingin membuat aku sakit kemarin kak,mohon maaf sebelumnya😭😭😭",6,negatif,bermakna
Saran semoga pelatihan selanjutnya bisa dipercepat,4,netral,bermakna
"Jaringan tidak memadai hari pertama jaringan kabel LAN nya berfungsi, namun pada hari ke 2 dan seterusnya, jaringan LAN nya sudah tidak berfungsi lagi, mohon untuk menyiapkan jaringannya juga, karena daerahnya yg kurang memadai jika jaringan seluler",7,netral,bermakna
Perbanyak kelas,7,negatif,bermakna
keterbatasan stopkontak,7,negatif,bermakna
Smoga kdepannya tmpat nya bsa lbih baik,7,netral,bermakna
Kurangnya colokan,7,negatif,bermakna
Mungkin dapat di sedikan akses internet,7,positif,bermakna
Saran fasilitasnya kurang wifi,4,negatif,bermakna
Ruangannya biasanya full tempat duduknya dan terkadang juga monoton,7,netral,bermakna
Semoga next pelatihan ruangan nya bisa lebih nyaman dan kondusif.,4,positif,bermakna
Untuk proyektornya mungkin bisa di persiapkan lebih baik lagi agar peserta dan pengajar nyaman dalam proses ajar mengajar dan untuk yang lain pengajar juga tidak ngebosanin. jempol berapi,1,positif,bermakna
Mungkin kegiatan selanjutnya bisa di lakukan di ruangan/lingkungan yang support jaringannya terimakasih 🙏🏻,7,positif,bermakna
Lebih di perhatikan untuk sarana utama dalam pembelajarannya seperti lcd,7,positif,bermakna
Sebaiknya untuk pemilihan ruangan diusahakan yang dapat memfasilitasi jaringan internet yang lancar untuk membantu peserta mencari dan mengakses materi yang dibutuhkan,4,negatif,bermakna
Semoga kelas diperluas,7,netral,bermakna
Jaringan yang kurang mendukung,7,positif,bermakna
Untuk kedepannya bisa menyediakan proyektor yang memadai agar pembelajaran dapat berjalan dengan baik,1,netral,bermakna
Kurang kursi,7,negatif,bermakna
"Tidak mendapatkan ATK seperti pada pelatihan sebelumnya, uang saku lebih sedikit dri sebelumnya dan ruang kelas kurang tinggi lantainya",7,negatif,bermakna
Ruangannya nyaman tp agak kecil,7,netral,bermakna
Mungkin kedepannya bisa lebih ditingkatkan lagi soal perangkat komputer yg di sediakan,1,positif,bermakna
"Akses jaringan sangat lambat dan tidak adanya ketersediaan wifi, usahakan sediakan jaringan yang lebih bagus agar mempercepat jalannya pelatihan",4,positif,bermakna
Pintunya terlalu berisik jadi mengganggu ketenangan dan fokus,7,negatif,bermakna
Ada beberapa tempat yang colokan casnya jauh,7,netral,bermakna
Kalau bisa lebih besar ruangannya,7,netral,bermakna
Sangat nyaman dan Bersih. Saran dari saya klo bisa ada pengadaan wifi utk peserta kedepannya,7,positif,bermakna
Susunan meja bikin sakit leher,7,negatif,bermakna
ada beberapa kursi yang tidak nyaman dipakai untuk duduk yang lama selebihnya mantap miminku,7,positif,bermakna
pelaksanaan pelatihan dilaksanskan tepat waktu,4,netral,bermakna
Kritik nya posisi nya tdk menghadapi ke layar proyektor sarannya posisi kursi dan meja menghadap proyektor,7,negatif,bermakna
tolong adakan lokasi yang jaringan memadai,7,netral,bermakna
Akses jaringan yang kurang cepat,7,positif,bermakna
Wc kurang bersih,7,negatif,bermakna
"untuk fasilitas nya sudah bagus, namun mungkin perlu ditingkatkan lagi dan kalo bisa disiapkan wifi agar pada saat disuruh untuk mengakses secara online bisa berjalan lancar tanpa terkendala jaringan, soalnya jaringan di kelas itu kurang bagus.",7,positif,bermakna
Saran untuk ruangannya disediakan slot colokan krn tidak semua meja mempunyai slot colokan,7,negatif,bermakna
Sebaiknya disediakan akses internet,7,positif,bermakna
Colokan susah,7,negatif,bermakna
"Ruangan yang tidak kondusif, dan sebaiknya memilih ruangan dan fasilitas yang mendukung kegiatan",4,negatif,bermakna
wifi kurang,7,negatif,bermakna
"Saran fasilitas kedepannya di per mantap, sekarang sudah bagus cuman alangkah baiknya ditingkatkan",4,netral,bermakna
Kondisi wc/toilet yang kotor. Saran saya kebersihan toiletnya lbih di perhatikan lagi,7,negatif,bermakna
Sudah sangat bagus&nyaman. Tapi kalau bisa jangan di lt 4 min:((,3,netral,bermakna
Semoga selanjutnya ada konfirmasi terkait ruangan kelas untuk ujikom dengan jelas supaya peserta mengetahui ruangannya sebelum ujikom di mulai dan persiapan ujikom pun lancar,7,positif,bermakna
Pilh fasilitas yang bagus,4,netral,bermakna
Sediakan tongkat atau remot Lcd,7,positif,bermakna
"Nyaman, cuman untuk penata LCD nya baiknya jika keseluruhan sisi bisa melihat dengan jelas",7,netral,bermakna
Semua fasilitas pelatihan yang telah disiapkan panitia pelatihan VSGA sudah cukup memuaskan bagi saya. Namun mungkin kedepannya panitia bisa menyiapkan alat tulis seperti spidol untuk pengajar sebelum dimulainya kelas agar pengajar tidak kebingungan mencari spidol. Terima kasih,4,positif,bermakna
Makanan dan uang sakunya perlu ditambah lagi,5,positif,bermakna
Kendala jaringan,7,positif,bermakna
"Mungkin adakan tempat colokan, karena sudah bawa terminal tpi ternyata sedikit colokan di kelas jadi rebutan sama yang lain",7,negatif,bermakna
Mungkin bisa difasilitasi juga untuk wifi,4,netral,bermakna
mohon kiranya di setiap meja ada terminal,7,negatif,bermakna
Bisa menyediakan jaringan agar proses ujian lebih efektif,2,positif,bermakna
Jaringan Internet kodong min :(,7,positif,bermakna
Terimakasih atas bimbingan dan ilmunya,7,positif,bermakna
Semoga kedepannya semakin bagus lagi,7,netral,bermakna
Semoga sarana dan prasarana seperti ini bisa dipertahankan,7,positif,bermakna
Acnya terlalu dingin,6,netral,bermakna
Mudah mudahan menyediakan fasilitas colokan kedepan,4,positif,bermakna
Kurang wifi,7,negatif,bermakna
"Ruangan dan fasilitasnya sudah cukup bersih dan rapih, mungkin kursinya saja yangvkurang nyaman untuk kegiatan berjam jam, saran untuk kegiatan slanjutnya mngkin bisa difasilitasi pc jga agar proses mendesain lebih lancar dan juga microfon untuk pengajarnya agar materi yang disampaikan terdengar dengan jelas dan memudahkan pengajar juga",4,positif,bermakna
Kurang wifi,7,negatif,bermakna
saran untuk menyediakan colokan lebih,7,positif,bermakna
"ACnya dingin banget, bikin ngantuk hehe",6,negatif,bermakna
Sinyal sulit,7,netral,bermakna
On time juga,7,netral,bermakna
Akses internet,7,positif,bermakna
Fasilitasnya kurang jaringan internet,7,netral,bermakna
Makanannya basi,5,negatif,bermakna
Wifi tidak senoga kedepannya ada,7,negatif,bermakna
Mungkin lebih ke jaringan kurang memadai harusnya bisa lebih memfasilitasi,4,positif,bermakna
Wifi yang atau jaringan susah di akses di lantai 4 ituu,7,positif,bermakna
Harus menyediakan kursi sesuai jumlah peserta,7,positif,bermakna
Untuk kedepannya apabila ruang kelas menggunakan lab alangkah baiknya memberikan pemberitahuan kepada peserta untuk melepaskan alas kaki demi menjaga kebersihan lab dikarenakan beberapa peserta memakai sepatu untuk masuk ke dalam lab,7,negatif,bermakna
"Ruangannya cukup bagus, tapi teralalu jauh di lt 4",7,negatif,bermakna
Kebersihan lebih ditingkatkan lagi,7,positif,bermakna
jaringannya diperbaiki dan perbanyak colokan buat cas laptop,7,positif,bermakna
"Mungkin ada baiknya apabila ada wifinya, tolong di beritahukan, soalnya jaringan susah,",7,netral,bermakna
Saran untuk ruangan Ac nya jangan terlalu dingin,6,negatif,bermakna
Mungkin perlu penambahan fasilitas seperti ac agar ruangan bisa lebih sejuk lagi,4,positif,bermakna
Tidak ada akses internet.,7,netral,bermakna
"ruangannya cukup nyaman, hanya saja kursi mejanya kurang cocok sbgai meja belajar/praktik yg menggunakan laptop",7,negatif,bermakna
mungkin lebih baik meja dan kursinya terpisah,1,netral,bermakna
Tetap dipertahankan kenyamanannya,7,positif,bermakna
Kurangnya akses internet,7,netral,bermakna
Ac dalam kelas terlalu dingin,6,negatif,bermakna
pada hari kedua kursi banyak bermasalah dan proyektor buram,7,negatif,bermakna
Saran saya untuk kepedannya lagi perlu di perhatikan mengenai ruangan kelas seperti tersedianya sumber listrik (colokan) untuk memudahkan peserta dan juga lebih baiknya lagi jika di tempatkan di ruangan yang jaringannya bagus,7,netral,bermakna
"Hari pertama masuk pelatihan, untuk lokasi nya sangat sangat jauh. Saya sempat nyasar di hari pertama.",3,negatif,bermakna
"saran dari saya kalau bisa jendelanya di kasih gorden atau penutup tirai karena terganggu saat pemateri menjelaskan, proyektor tidak kelihatan di papan tulis karena efek cahaya dri jendela",7,negatif,bermakna
"Ada beberapa kelas yang proyektor nya tidak terpasang di posisi atas jadi perlu di atur manual dan makan waktu pelatihan, saran saya semoga kedepannya kelas yang digunakan itu proyektor telah terpasang di posisi atas terima kasih 🙏",7,negatif,bermakna
"terkait Ruangan dan Fasilitas pelatihan mungkin dari sy tdk ad yang kurang memuaskan.. semuanya enak, nyaman dan juga betah buat belajar..TERIMA KASIH🙏",4,netral,bermakna
Mungkin dari fasilitas seperti komputer bisa di lengkapi terimakasih,4,netral,bermakna
Ruangan dan fasilitas pelatihan sudah sangat baik,4,negatif,bermakna
"Alhamdulillah ruangannya sangat bersih, nyaman kalau bisa tahun depan disini lagi..!!!",7,positif,bermakna
Kalau bisa sediakan wifi kak😅,7,positif,bermakna
"Harus bertanya agar dapat sampai ke lokasi, untuk berikutnya diharapkan agar di sediakan penanda lokasi hingga ke ruangan. Terima kasih",7,negatif,bermakna
Ac kurang dingin,6,negatif,bermakna
"Ruangan serta fasilitas pelatihan kali ini sangat bagus, sulit menemukan kritikan. Sedikit saran semoga kedepannya dapat berkembang lagi dan lebih baik dari kali ini",4,positif,bermakna
Menurut saya fasilitas pelatihan sudah sangat baik,4,netral,bermakna
tolong monitornya lebih besar,1,positif,bermakna
AC nya kak mungkin bisa di bersihkan,7,netral,bermakna
Ada beberapa colokan yang tidak bisa digunakan jdi mungkin bisa dicek terlebih dahulu agar memudahkan peserta ketika ingin menggunakan colokan,7,negatif,bermakna
sediakan wifi,7,positif,bermakna
"semoga kedepannya untuk meja belajarnya disediakan yang lebih besar dari yang ada sekarang, karena dengan kondisi meja yang terbatas seperti sekarang ini rawan laptop dari peserta terjatuh.",7,positif,bermakna
Semoga kedepannya lebih baik lagi dan di perhatikan,1,positif,bermakna
"Semoga lokasinya ga terlalu jauh, fasilitas nya udah oke cuma",4,negatif,bermakna
"ruangannya nyaman dan bersih, hanya saja terlalu jauh di lantai 4.",7,netral,bermakna
jangan terlalu jauh dari Kabupaten Gowa,7,netral,bermakna
Sarannya ruangan yang di sediakan tetap sama dari hari pertama sampai penutupan,7,negatif,bermakna
Bersih dan kakak panitia tegas menyampaikan untuk kebersihan ruangan,7,netral,bermakna
ac kurang mendukung dalam pelatihan sehingga peserta tidak fokus karena kepanasan,7,netral,bermakna
Stopkontak diperbaiki agar dapat digunakan oleh mhs,7,netral,bermakna
saya senagai peserta VSGA dan JNA sangat puas dengan fasilitas yang diberikan.,4,positif,bermakna
"Perlu Layar screen yang lebar, fasilitas internet, coffe break, tambahan uang saku.",7,positif,bermakna
Saran kedepannya diadakan lagi batch selanjutnya kak hihihi,7,netral,bermakna
Untuk ruangan sudah bagus tapi untuk mengakses ruangan sangat melelahkan,7,negatif,bermakna
I don't have any,7,netral,bermakna
"kritik : tidak ada
 saran : ini sudah bagus tapi mungkin bisa ditingkatkan lagi",7,negatif,bermakna
Mungkin di ac nya kadang tidak terlalu dingin,6,netral,bermakna
ruangannya terlalu tinggi di lantai 4 hehe,7,negatif,bermakna
